2018-09-20 Thu	2630
2018-09-21 Fri	2678	2683
2018-09-24 Mon	2810
2018-09-25 Tue	2764	2766
2018-09-26 Wed	2628	2763
2018-09-27 Thu	2779	2780
2018-09-28 Fri	2675	2800
2018-10-01 Mon	2674	2767
2018-10-02 Tue	2683	8285
2018-10-03 Wed	2649
2018-10-04 Thu	2601	2805
2018-10-05 Fri	2700	2799
2018-10-08 Mon	2736	2802
2018-10-09 Tue	2734	2773
2018-10-10 Wed	2601	2737
2018-10-11 Thu	2738	2764
2018-10-15 Mon	2702	2809
2018-10-16 Tue	2735	2795
2018-10-17 Wed	2649	2703
2018-10-18 Thu	2649	2794
2018-10-19 Fri	2689	2702
2018-10-22 Mon	2672	2738
2018-10-23 Tue	2630	2797
2018-10-24 Wed	2617	2629
2018-10-25 Thu	2634	2698
2018-10-26 Fri	2601	2806
2018-10-29 Mon	2669	2739
2018-10-30 Tue	2671	2764
2018-10-31 Wed	2644	2737
2018-11-01 Thu	2600
2018-11-02 Fri	2644	2763
2018-11-05 Mon	2647	2776
2018-11-06 Tue	2606	2642
2018-11-07 Wed	2765	2805
2018-11-08 Thu	2628	2762
2018-11-09 Fri	2678	2766
2018-11-12 Mon	2776	2798
2018-11-13 Tue	2618	2673
2018-11-14 Wed	2769	2779
2018-11-15 Thu	2617	2673
2018-11-16 Fri	2629	2689
2018-11-19 Mon	2658	2734
2018-11-20 Tue	2613	2765
2018-11-21 Wed	2668	2683
2018-11-26 Mon	2649	2800
2018-11-27 Tue	2675	2764
2018-11-28 Wed	2683	2770
2018-11-29 Thu	2769	2810
2018-11-30 Fri	2658	2689
2018-12-03 Mon	2631	2670
2018-12-04 Tue	2613	2681
2018-12-05 Wed	2616	2628
2018-12-06 Thu	2630	2763
2018-12-07 Fri	2789	2806
2018-12-10 Mon	2651	2652
2018-12-11 Tue	2604	2794
2018-12-12 Wed	2617	2651
2018-12-13 Thu	2647	2649
2018-12-14 Fri	2676
2018-12-17 Mon	2628	2671
2018-12-18 Tue	2736	2738
2018-12-19 Wed	2618	2678
2018-12-20 Thu	2773	2789
2018-12-21 Fri	2639	2643
2019-01-07 Mon	2648	2668
2019-01-08 Tue	2736	2737
2019-01-09 Wed	2639	2674
2019-01-10 Thu	2643	2739
2019-01-11 Fri	2615	2773
2019-01-14 Mon	2672	2684
